iter	TotalF1	MultiClass
152	0.7904862163	0.601242999
153	0.7905677376	0.6009543731
154	0.790661287	0.6006599131
155	0.7907775758	0.6004588647
156	0.7908410898	0.5999891184
157	0.7910376157	0.5994491001
158	0.791044883	0.5992800412
159	0.7911766141	0.5987231105
160	0.7912896504	0.5983286835
161	0.7915574593	0.5981039053
162	0.7916287563	0.5975310455
163	0.7918570911	0.5972204596
164	0.7919820874	0.5969558257
165	0.7920833577	0.5967169539
166	0.7920846855	0.5964354076
167	0.7924196888	0.5958616955
168	0.7926358791	0.5957185297
169	0.7923539797	0.595308698
170	0.7925309613	0.5949974566
171	0.7928959266	0.594351375
172	0.7928884218	0.5940651745
173	0.7931311915	0.5934329245
174	0.7932882503	0.5929659313
175	0.7932408035	0.5925783872
176	0.7931713013	0.5923604265
177	0.7932710032	0.5917410246
178	0.7932957304	0.5913265386
179	0.7934742785	0.5910356839
180	0.7936073741	0.5908498437
181	0.7938481591	0.5903403072
182	0.7939936535	0.590019233
183	0.7938936691	0.5897855397
184	0.7941884871	0.589512843
185	0.7942362074	0.5893574189
186	0.7941337426	0.5887740707
187	0.7942037946	0.5885506036
188	0.7941713235	0.5884496534
189	0.7943867484	0.5879673865
190	0.7945178348	0.5873803019
191	0.7945263117	0.5871900041
192	0.7947347948	0.5865801073
193	0.7948606133	0.5864271742
194	0.7949180166	0.5862941035
195	0.7949393586	0.5861385483
196	0.7949763362	0.5856816501
197	0.7949570832	0.5854629028
198	0.7951032525	0.585249924
199	0.7951192354	0.5850940411
200	0.7951530667	0.5847092502
201	0.7952147772	0.5843357343
202	0.7953256992	0.5838286232
203	0.7953063162	0.5836880139
204	0.7954195603	0.5833391456
205	0.7953200038	0.5831332465
206	0.7957432292	0.5827983407
207	0.7957280896	0.5825550113
208	0.7958083606	0.58211614
209	0.7958822407	0.5816861837
210	0.7958460339	0.581530563
211	0.7958681895	0.5812551131
212	0.7959196472	0.5811130617
213	0.7961773199	0.5806528203
214	0.7961504666	0.5804746497
215	0.79639673	0.5799737005
216	0.7965280196	0.5797409905
217	0.7965605368	0.5794739968
218	0.7964912828	0.5792059542
219	0.7968405618	0.5787726548
220	0.7967503181	0.5783639374
221	0.7969346701	0.5780072684
222	0.7970632197	0.5777265743
223	0.7972499894	0.5772862608
224	0.7972624478	0.5772140224
225	0.7974019558	0.5769884576
226	0.7974584878	0.5765735783
227	0.7975277877	0.5763987508
228	0.7975000593	0.5759469002
229	0.7975311887	0.5757463763
230	0.7977705776	0.5754218278
231	0.7978202984	0.5750129793
232	0.7977625173	0.5747324163
233	0.7977585982	0.5746182901
234	0.7978032906	0.5744285823
235	0.7980318076	0.5741724702
236	0.7981285054	0.5739669644
237	0.7979805668	0.5737158998
238	0.797953789	0.57354376
239	0.7981425303	0.5731141315
240	0.7988004659	0.5727961382
241	0.7989198358	0.572470082
242	0.7989020846	0.5722613641
243	0.7991233752	0.5721368151
244	0.7991401357	0.5719065961
245	0.7994411191	0.5714232149
246	0.7996958576	0.5711241662
247	0.7997245897	0.5709309186
248	0.7997250966	0.5706951276
249	0.7998595755	0.5703613363
250	0.7998607507	0.570204339
251	0.7999824492	0.5700544869
252	0.8000722236	0.5698917866
253	0.8003004684	0.5694422958
254	0.8006722746	0.5688582921
255	0.800682476	0.568650033
256	0.8005967833	0.5683125052
257	0.8007561288	0.5681353179
258	0.800766315	0.5679026735
259	0.8011446206	0.5675765517
260	0.8010564932	0.5672442681
261	0.801334339	0.5668592151
262	0.8014220838	0.566674817
263	0.8013066076	0.5664164106
264	0.8015285366	0.5662284071
265	0.801438733	0.5660329963
266	0.8013405146	0.5655880942
267	0.8013296586	0.565474689
268	0.8016890361	0.5651705272
269	0.801719913	0.5649355885
270	0.80167831	0.5646878015
271	0.8017124781	0.5643628597
272	0.8017243018	0.5642019949
273	0.8018648306	0.5639616153
274	0.8018724503	0.5635727602
275	0.801947326	0.563191968
276	0.8022511889	0.5628211398
277	0.8022362083	0.5625688297
278	0.8022622061	0.5622299909
279	0.8027268322	0.5619429382
280	0.8026377437	0.5616579832
281	0.8026986585	0.5614985605
282	0.802920401	0.5613009209
283	0.8029946427	0.5608718823
284	0.8028679062	0.5604954166
285	0.8030952493	0.5603080031
286	0.8030344726	0.5601979411
287	0.8031599242	0.5599724419
288	0.8031441926	0.5596638226
289	0.803338152	0.5594731315
290	0.8034344975	0.5594014175
291	0.8035394068	0.5592171505
292	0.8035674438	0.559019642
293	0.8034456473	0.5588515009
294	0.8036596934	0.5587444543
295	0.8037104418	0.5585906691
296	0.8038126387	0.5582478315
297	0.8040958746	0.5580816569
298	0.8040622607	0.5578858528
299	0.8040831012	0.5577927688
300	0.8041072813	0.5575619599
301	0.8041626626	0.5571950647
302	0.804129232	0.5569965074
303	0.8041084366	0.5568423944
304	0.8041288989	0.556662585
305	0.8041958509	0.5564379379
306	0.8043128897	0.5562346608
307	0.8042394816	0.5560899873
308	0.8042381801	0.5560151924
309	0.8042468684	0.555795855
310	0.8042793666	0.5556340069
311	0.8044798102	0.5553893008
312	0.8043821235	0.5551374497
313	0.8043743919	0.555051052
314	0.8044679544	0.5548647529
315	0.8046276082	0.5546160482
316	0.8045710423	0.5544869106
317	0.8048949412	0.5542989727
318	0.805003201	0.5539467612
319	0.8050614799	0.5537827498
320	0.8050808252	0.5536254903
321	0.8051187727	0.5535354873
322	0.8053587739	0.5533560056
323	0.8053584958	0.5532747866
324	0.8053909045	0.5531622991
325	0.8054870905	0.5527498453
326	0.8056017156	0.5526495506
327	0.8056887377	0.5523553527
328	0.805661709	0.552182754
329	0.8056900893	0.5520420792
330	0.8058348571	0.5518370978
331	0.8059721938	0.5517598118
332	0.8059803635	0.551661287
333	0.8059713896	0.5512897377
334	0.8062044106	0.5510076014
335	0.8061633975	0.5507578479
336	0.8063187238	0.5504558493
337	0.8063715053	0.5503108481
338	0.8064634449	0.5499897739
339	0.8064207222	0.5498635205
340	0.8067421311	0.549523174
341	0.8067856125	0.5493722403
342	0.8068604078	0.5493124895
343	0.8068039692	0.5489236016
344	0.8068639982	0.5486631959
345	0.8068822928	0.5484910888
346	0.806975428	0.548284272
347	0.8068744421	0.5480619192
348	0.8067962942	0.5479830272
349	0.806900487	0.5478100352
350	0.8068139478	0.547548089
351	0.8070332391	0.54725494
352	0.8069958854	0.5471395355
353	0.8068569271	0.5469097426
354	0.8070198326	0.5466793597
355	0.807129783	0.5465022052
356	0.807135803	0.5462670042
357	0.8075169073	0.5459644485
358	0.8075964124	0.5456609094
359	0.8077916179	0.5454644498
360	0.8077162903	0.5452172528
361	0.8076836632	0.5451372792
362	0.8078622596	0.5449635661
363	0.8079561884	0.5447037831
364	0.8080676753	0.544538854
365	0.8080699738	0.5444654685
366	0.8080258367	0.5442373471
367	0.8081988411	0.5440663217
368	0.8082332751	0.5439843816
369	0.8082323372	0.5439154863
370	0.8081523924	0.5435614394
371	0.8083510881	0.5433359729
372	0.8084351303	0.5432171597
373	0.8082501009	0.5430243054
374	0.8082755894	0.5429473145
375	0.8083951153	0.5426888097
376	0.8086203297	0.542386844
377	0.808623725	0.5422849104
378	0.8086892443	0.5421954318
379	0.8087045864	0.5419964156
380	0.8087683817	0.5418660325
381	0.808832284	0.541547187
382	0.809018448	0.5412187054
383	0.8089659888	0.5410174932
384	0.8088654833	0.5408602337
385	0.8088681068	0.5407748193
386	0.8088016601	0.5403159874
387	0.8088016601	0.5402561711
388	0.8087582122	0.5401562369
389	0.8088025577	0.5398461754
390	0.8089497192	0.5397154973
391	0.8089632814	0.539629198
392	0.8089816853	0.5392876059
393	0.8091301273	0.539144014
394	0.8091611289	0.5390737094
395	0.8091644682	0.5389156961
396	0.809324068	0.5387445067
397	0.8095992357	0.5385341828
398	0.8096134454	0.5383813481
399	0.8096785535	0.5383060942
400	0.8097258725	0.5380549314
401	0.8096909949	0.5379423456
402	0.809790667	0.5378202548
403	0.8099364657	0.5376410681
404	0.809804723	0.5374789578
405	0.8098898429	0.5373614228
406	0.8099278081	0.5370634885
407	0.8101994301	0.5368184875
408	0.8101382949	0.5365689307
409	0.8101707247	0.5365129164
410	0.8103080066	0.5362231105
411	0.8105297291	0.5358472675
412	0.8108325906	0.5355020701
413	0.8109339492	0.5354352725
414	0.8108290304	0.5351582821
415	0.8108200292	0.535016329
416	0.8108200292	0.534919738
417	0.8108320351	0.5348055462
418	0.8108179117	0.5346023019
419	0.8111407627	0.5343063014
420	0.8110185015	0.5340766396
421	0.8110177494	0.5337225271
422	0.8111451083	0.5335792958
423	0.8111545969	0.5334130884
424	0.8113253	0.5332939802
425	0.8114664667	0.533111942
426	0.8114401036	0.5330384581
427	0.8116947754	0.5328276425
428	0.8118235612	0.5326331494
429	0.811715568	0.5323823471
430	0.8118450503	0.5321891978
431	0.8119062583	0.5318366258
432	0.8118632916	0.5315832669
433	0.8119550873	0.531382743
434	0.8120348652	0.5312899868
435	0.8120001449	0.5310815966
436	0.8121376177	0.5309377098
437	0.8120738696	0.5308398405
438	0.8121458334	0.5307559338
439	0.8122876978	0.5305587203
440	0.8124208187	0.5304194876
441	0.8123446318	0.5302606876
442	0.812542676	0.5300029695
443	0.812728277	0.5296931375
444	0.8127020406	0.529539975
445	0.8127555991	0.5293966781
446	0.8126497573	0.5291931716
447	0.8125987523	0.5289754075
448	0.8126963583	0.5287873713
449	0.8126328131	0.5286711801
450	0.8128294777	0.5285258839
451	0.8127887426	0.5284388307
452	0.8128758467	0.5283368316
453	0.8127672313	0.5282572842
454	0.8129306903	0.5281770484
455	0.8132229845	0.527933129
456	0.8131822315	0.5277751156
457	0.8133921992	0.5275335561
458	0.8135092839	0.5273459788
459	0.8135154639	0.5272603022
460	0.8135220476	0.5271731179
461	0.8135065695	0.5270292965
462	0.8135324452	0.5266981929
463	0.813891159	0.5264359189
464	0.8140986048	0.5261634516
465	0.8141031864	0.5258701387
466	0.8141444614	0.5257859042
467	0.8144486046	0.525434676
468	0.8144466073	0.5252144209
469	0.8145627136	0.5249337924
470	0.814752059	0.5247527702
471	0.8145002845	0.5245301225
472	0.814714915	0.5242951182
473	0.8148684901	0.524140743
474	0.8148615027	0.5240723721
475	0.8147003686	0.523904821
476	0.8150304184	0.5236668996
477	0.8151865658	0.5233781426
478	0.8151605192	0.5232963335
479	0.8150827535	0.5230672617
480	0.8152423368	0.5229528733
481	0.8153298327	0.5228215069
482	0.815408328	0.5225770631
483	0.8156701786	0.5223271784
484	0.8157683252	0.5219929282
485	0.81589744	0.5218271142
486	0.8159445405	0.5216677242
487	0.8160525295	0.5215307203
488	0.8162418723	0.521429049
489	0.8162116888	0.5213430774
490	0.8162651489	0.521238063
491	0.8162171356	0.5209550745
492	0.816215593	0.5208675297
493	0.8162338213	0.5208082378
494	0.8162824359	0.5205825747
495	0.8163291523	0.5205284286
496	0.8164408282	0.520421382
497	0.8164419204	0.5202005698
498	0.8163971896	0.5200616321
499	0.8165106637	0.5200147296
